Time,Number of infected people,Number of uninfected people,number of immune people,number of dead people
0.0,2,498,0,0
0.1,4,496,0,0
0.2,6,494,0,0
0.3,6,494,0,0
0.4,6,494,0,0
0.5,7,493,0,0
0.6,7,493,0,0
0.7,13,487,0,0
0.8,16,484,0,0
0.9,19,481,0,0
1.0,21,479,0,0
1.1,25,475,0,0
1.2,27,473,0,0
1.3,30,470,0,0
1.4,32,468,0,0
1.5,34,466,0,0
1.6,35,465,0,0
1.7,37,463,0,0
1.8,41,459,0,0
1.9,41,459,0,0
2.0,44,456,0,0
2.1,46,454,0,0
2.2,48,452,0,0
2.3,56,444,0,0
2.4,59,441,0,0
2.5,63,437,0,0
2.6,67,433,0,0
2.7,68,432,0,0
2.8,74,426,0,0
2.9,75,425,0,0
3.0,79,421,0,0
3.1,85,413,2,0
3.2,92,404,4,0
3.3,93,401,6,0
3.4,100,394,6,0
3.5,104,390,6,0
3.6,105,388,7,0
3.7,116,377,7,0
3.8,116,371,13,0
3.9,117,367,16,0
4.0,124,357,19,0
4.1,129,350,20,1
4.2,131,344,24,1
4.3,135,338,26,1
4.4,139,326,34,1
4.5,149,314,36,1
4.6,155,302,41,2
4.7,164,287,47,2
4.8,169,280,50,2
4.9,170,274,56,2
5.0,177,264,60,2
5.1,184,252,66,2
5.2,189,241,72,3
5.3,190,236,77,3
5.4,187,226,90,3
5.5,190,220,93,3
5.6,195,208,100,5
5.7,195,202,106,5
5.8,201,195,107,5
5.9,202,186,117,5
6.0,214,173,119,5
6.1,226,156,124,5
6.2,225,146,136,5
6.3,223,139,147,6
6.4,220,130,160,6
6.5,226,124,160,6
6.6,231,114,165,6
6.7,236,106,169,6
6.8,229,102,183,6
6.9,228,92,193,7
7.0,233,87,194,7
7.1,230,79,206,8
7.2,227,75,214,8
7.3,225,71,222,8
7.4,224,64,229,8
7.5,218,61,238,8
7.6,211,57,249,10
7.7,204,54,258,10
7.8,196,52,266,11
7.9,192,48,275,11
8.0,189,46,280,11
8.1,183,45,285,11
8.2,175,43,292,12
8.3,168,40,298,13
8.4,170,38,301,13
8.5,163,37,306,14
8.6,163,34,311,14
8.7,157,31,318,15
8.8,147,30,330,15
8.9,148,29,330,15
9.0,142,27,337,17
9.1,131,26,347,17
9.2,116,25,360,18
9.3,102,25,374,18
9.4,105,22,376,18
9.5,98,22,384,18
9.6,93,21,390,18
9.7,85,20,398,18
9.8,75,18,408,19
9.9,76,17,408,19
10.0,67,17,415,19
10.1,65,14,419,20
10.2,58,14,424,20
10.3,50,14,432,20
10.4,51,13,434,20
10.5,46,13,438,20
10.6,43,13,440,20
10.7,40,13,441,20
10.8,37,13,443,21
10.9,37,13,443,21
11.0,34,13,446,21
11.1,32,13,447,21
11.2,32,12,448,22
11.3,30,11,451,22
11.4,27,11,454,23
11.5,25,11,457,23
11.6,24,11,457,23
11.7,21,10,461,23
11.8,18,10,462,24
11.9,17,10,463,24
12.0,16,10,463,24
12.1,14,10,466,24
12.2,14,9,467,24
12.3,13,9,468,24
12.4,13,8,469,24
12.5,10,8,470,24
12.6,10,8,470,24
12.7,10,6,473,25
12.8,9,6,473,25
12.9,8,6,474,25
13.0,7,6,476,25
13.1,7,6,476,25
13.2,4,7,476,25
13.3,4,7,476,25
13.4,4,6,477,25
13.5,3,6,478,25
13.6,3,5,479,25
13.7,3,5,479,25
13.8,3,4,480,25
13.9,3,5,479,25
14.0,3,8,476,25
14.1,3,8,476,25
14.2,3,6,478,25
14.3,2,10,475,25
14.4,2,12,473,25
14.5,2,17,468,25
14.6,2,17,468,25
14.7,2,18,467,25
14.8,2,19,466,25
14.9,2,21,464,25
15.0,2,25,460,25
15.1,2,25,460,25
15.2,2,28,457,25
15.3,1,29,456,25
15.4,1,31,454,25
15.5,1,42,443,25
15.6,1,42,443,25
15.7,1,44,441,25
15.8,0,48,438,25
